id,text,is_correct,image_link,music_link,question_type_id,question_id,points
6,"Купить что-нибудь ненужное",1,,,1,7,NULL
7,"Объединённое Королевство Великобритании и Северной Ирландии",1,,,1,8,NULL
9,"Январь, март, май, июль, август, октябрь, декабрь",1,,,1,9,NULL
22,"Руки вверх",1,,,1,22,NULL
23,Бумбокс,1,,,1,23,NULL
24,"5sta family",1,,,1,24,NULL
25,Aqua,1,,,1,25,NULL
26,MBAND,1,,,1,26,NULL
27,IOWA,1,,,1,27,NULL
28,Леприконсы,1,,,1,28,NULL
29,"Агата Кристи",1,,,1,29,NULL
30,"7Б - Молодые ветра ",1,,,1,30,NULL
31,"Король и Шут- Кукла Колдуна",1,,,1,31,NULL
32,"Burak Yeter ft. Danelle Sandoval - Tuesday",1,,,1,32,NULL
33,"Ed Sheeran - Shape of You",1,,,1,33,NULL
34,"AC/DC - Thunderstruck",1,,,1,34,NULL
35,"Султан Ураган и Мурат Тхагалегов – На дискотеку",1,,,1,35,NULL
36,"Кар-Мэн - Сан-Франциско",1,,,1,36,NULL
37,"Europe - The Final Countdown",1,,,1,37,NULL
38,"Stromae – Alors On Dance",1,,,1,38,NULL
39,"The Weeknd – Blinding Lights",1,,,1,39,NULL
40,"Selena Gomez & The Scene – Love Like A Love Song",1,,,1,40,NULL
41,"John Newman – Love Me Again",1,,,1,41,NULL
42,"Лолита – На Титанике ",1,,,1,42,NULL
43,"Mark Ronson ft. Bruno Mars - Uptown Funk",1,,,1,43,NULL
44,"OneRepublic - Counting Stars",1,,,1,44,NULL
45,"Taylor Swift - Shake It Off",1,,,1,45,NULL
46,"LMFAO - Sexy and I Know It",1,,,1,46,NULL
47,"Градусы — Голая",1,,,1,47,NULL
48,"Те100стерон - Это не женщина",1,,,1,48,NULL
49,"Иван Дорн — Стыцамэн",1,,,1,49,NULL
50,"ANNA ASTI – ЦАРИЦА",1,,,1,50,NULL
51,"Люся Чеботина - Солнце Монако",1,,,1,51,NULL
52,"Ke$ha - TiK ToK",1,,,1,52,NULL
53,"Katy Perry – Firework",1,,,1,53,NULL
54,"Katy Perry – Roar",1,,,1,54,NULL
55,Gala,1,,,1,55,NULL
56,"Николай Басков",1,,,1,56,NULL
57,"Алексей Воробьёв ",1,,,1,57,NULL
58,"Андрей Губин",1,,,1,58,NULL
59,"Modern Talking - Cheri Cheri Lady",1,,,1,59,NULL
60,"Spice Girls – Wannabe",1,,,1,60,NULL
61,"Maroon 5 – Sugar",1,,,1,61,NULL
62,"Linkin Park - Numb ",1,,,1,62,NULL
63,"Отряд самоубийц (Suicide Squad)",1,,,1,63,NULL
64,"Элджей & Feduk",1,,,1,64,NULL
65,"Ленинград ft. Глюк'oZа ft. ST - ЖУ-ЖУ",1,,,1,65,NULL
66,"Григорий Лепс - Я ТЕБЯ НЕ ЛЮБЛЮ",1,,,1,66,NULL
67,"Sean Paul ft. Dua Lipa - No Lie ",1,,,1,67,NULL
68,"Naughty Boy ft. Sam Smith - La la la ",1,,,1,68,NULL
69,Немецкий,1,,,1,69,NULL
70,"Camila Cabello ft. Young Thug - Havana ",1,,,1,70,NULL
71,"Jennifer Lopez ft. Pitbull - On The Floor",1,,,1,71,NULL
72,"Eminem ft. Rihanna – Love the way Lie",1,,,1,72,NULL
73,"Pharrell Williams – Happy",1,,,1,73,NULL
74,"Южная Корея",1,,,1,74,NULL
75,2010,1,,,1,75,NULL
76,"Justin Bieber – Sorry",1,,,1,76,NULL
77,"Charlie Puth feat. Selena Gomez - We Don't Talk Anymore ",1,,,1,77,NULL
78,"Doni feat. Натали - Ты такой",1,,,1,78,NULL
79,#2Маши,1,,,1,79,NULL
80,"Тимати feat. Рекорд Оркестр - Баклажан",1,,,1,80,NULL
