id,text,question_type_id,game,image_link,audio_link,video_link,comment,created,updated,start_time,end_time,is_active,used,draw,time_to_answer
7,"Дядя Федор: “Чтобы продать что-нибудь ненужное, нужно сначала…”. Закончите цитату тремя словами ",1,31,,,,,"2025-09-22 17:00:06.077209","2025-09-22 17:01:43.940259","2025-09-22 20:10:45.534597","2025-09-22 20:11:45.534597",1,1,1,60
8,"Назовите страну с самым длинным названием",1,32,,,,,"2025-09-22 17:00:19.819452","2025-09-22 17:01:44.283408","2025-09-22 20:33:25.985731","2025-09-22 20:34:25.985731",1,1,1,60
9,"Перечислите все месяцы, в которых 31 день",1,NULL,,,,,"2025-09-22 17:00:36.356485","2025-09-22 17:01:44.619693",NULL,NULL,1,0,1,60
22,"Напишите название группы, исполнившую эту песню",1,45,,"/assets/1. Sergejj_ZHukov_-_A_on_tebya_celuet_govorit_chto_lyubit_64199862 (mp3cut.net).mp3",,,"2025-09-22 17:17:37.997631","2025-09-22 17:39:01.797353","2025-10-02 16:41:17.118918","2025-10-02 16:42:17.118918",1,1,0,60
23,"Напишите название группы, исполнившую эту песню",1,45,,"/assets/2. Bumboks_-_Vakhteram_64765326 (mp3cut.net).mp3",,,"2025-09-22 17:18:25.419673","2025-09-22 17:39:02.393691","2025-10-02 16:41:44.301410","2025-10-02 16:42:44.301410",1,1,0,60
24,"Напишите название группы, исполнившую эту песню",1,45,,"/assets/34. 5sta_family_-_Moya_melodiya_53298071 (mp3cut.net).mp3",,,"2025-09-22 17:19:26.006156","2025-09-22 17:39:02.771873","2025-10-02 16:42:19.362086","2025-10-02 16:43:19.362086",1,1,0,60
25,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/48. Aqua_-_Barbie_Girl_76675733 (mp3cut.net).mp3",,,"2025-09-22 17:19:43.438645","2025-09-22 17:39:03.246603","2025-09-22 20:25:35.681161","2025-09-22 20:26:35.681161",1,1,0,60
26,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/53. MBAND - Она вернётся (mp3cut.net).mp3",,,"2025-09-22 17:20:08.697230","2025-09-22 17:39:03.628329","2025-09-22 20:27:03.041706","2025-09-22 20:28:03.041706",1,1,0,60
27,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/54. IOWA_-_Marshrutka_48035688 (mp3cut.net).mp3",,,"2025-09-22 17:20:26.447105","2025-09-22 17:39:04.014560","2025-09-22 20:29:05.943067","2025-09-22 20:30:05.943067",1,1,0,60
28,"Напишите название группы, исполнившую эту песню",1,31,,"/assets/57. Leprikonsy_-_KHali-gali_paratruper_64519337 (mp3cut.net).mp3",,,"2025-09-22 17:20:39.786152","2025-09-22 17:39:04.389680","2025-09-22 20:29:54.483997","2025-09-22 20:30:54.483997",1,1,0,60
29,"Напишите название группы, исполнившую эту песню",1,32,,"/assets/60. Agata_Kristi_-_Kak_na_vojjne_48167530 (mp3cut.net).mp3",,,"2025-09-22 17:20:53.779376","2025-09-22 17:39:04.745137","2025-09-22 20:34:29.066722","2025-09-22 20:35:29.066722",1,1,0,60
30,"Напишите название этой песни",1,32,,"/assets/3. 7B_-_Molodye_vetra_48192602 (mp3cut.net).mp3",,,"2025-09-22 17:21:26.233856","2025-09-22 17:39:05.270380","2025-09-22 20:35:11.914293","2025-09-22 20:36:11.914293",1,1,0,60
31,"Напишите название этой песни",1,32,,"/assets/4. Korol_i_SHut_-_Kukla_kolduna_1671691 (mp3cut.net).mp3",,,"2025-09-22 17:21:35.581286","2025-09-22 17:39:05.908660","2025-09-22 20:35:54.472536","2025-09-22 20:36:54.472536",1,1,0,60
32,"Напишите название этой песни",1,32,,"/assets/5. Burak_Yeter_Danelle_-_Tuesday_48201982 (mp3cut.net).mp3",,,"2025-09-22 17:21:46.327187","2025-09-22 17:39:07.582134","2025-09-22 20:37:39.593703","2025-09-22 20:38:39.593703",1,1,0,60
33,"Напишите название этой песни",1,32,,"/assets/9. Ed_Sheeran_-_Shape_of_You_47828367 (mp3cut.net).mp3",,,"2025-09-22 17:21:59.127576","2025-09-22 17:39:08.207178","2025-09-22 20:38:23.511157","2025-09-22 20:39:23.511157",1,1,0,60
